vehType,green_bev,bev,ice,energy_component,green_ice,energy_intensity_bev,energy_intensity_ice,bev_marg,energy_bev_marg
Car,0.3,0.5,0.3,0.4,0.12,0.000383877,0.000230326,0.18,0.000153551
Car SUV,0.4,0.6,0.5,0.333333333,0.166666667,0.000383877,0.000319898,0.233333333,0.000063979
Truck SUV,0.4,0.7,0.6,0.428571429,0.257142857,0.000575816,0.000493556,0.142857143,0.00008226
Pickup,0.5,0.9,0.7,0.444444444,0.311111111,0.000767754,0.000597142,0.188888889,0.000170612
Van,0.5,0.9,0.7,0.444444444,0.311111111,0.000767754,0.000597142,0.188888889,0.000170612
