"Car or
Truck","Vehicle
Type",Model Year,Prod (000),,Fuel Economy (MPG),,,,"Weight
(lb)","Vol 
(Cu-Ft)",Engine,,0-60 Time,"HP/
CID","HP/
WT","Ton-MPG
(Lab 55/45)",Cu-Ft-MPG (Lab 55/45),"Cu-Ft-Ton-
MPG
(Lab 55/45)",Drivetrain,,,Transmission,,,,,Fuel Metering,,,,,,VVT,,Vehicle Size,,
,,,,Frac,Lab 55/45,Adj City,Adj Hwy,Adj Comb,,,CID,HP,,,,,,,Front,4WD,Rear,Manual,Automatic,Lockup,CVT,Other,Carb,GDI,Port,TBI,Diesel,Multi-Valve,,Hybrid,Small,Midsize,Large
Car,All,1981,8734,0.828,25.1,19.5,24.2,21.4,3076,,182,99,15.6,0.594,0.0320,38.9,,,37.0%,0.7%,62.2%,29.9%,36.2%,33.3%,,0.6%,85.3%,,6.1%,2.6%,5.9%,,,,51.5%,36.4%,12.2%
Car,All,1982,7832,0.805,26.0,20.1,25.5,22.2,3053,,175,99,16.6,0.609,0.0320,40.1,,,45.6%,0.8%,53.6%,29.2%,19.1%,51.3%,,0.5%,78.4%,,7.2%,9.8%,4.7%,,,,56.6%,30.9%,12.5%
Car,All,1983,8035,0.780,25.9,19.9,25.5,22.1,3112,,182,104,14.8,0.615,0.0330,40.7,,,47.1%,3.1%,49.9%,26.0%,16.8%,56.7%,,0.5%,69.7%,,9.4%,18.8%,2.1%,,,,53.0%,31.9%,15.0%
Car,All,1984,10730,0.765,26.3,20.2,25.9,22.4,3101,,179,106,14.5,0.637,0.0338,41.1,,,53.5%,1.0%,45.5%,24.1%,17.5%,58.3%,,0.0%,59.1%,,14.9%,24.3%,1.7%,,,,57.1%,29.7%,13.2%
Car,All,1985,10879,0.752,26.9,20.6,26.7,23.0,3096,,177,111,13.9,0.671,0.0354,41.9,,,61.1%,2.1%,36.8%,22.8%,18.4%,58.9%,,,46.0%,,21.3%,31.8%,0.9%,,,,55.3%,29.5%,15.2%
Car,All,1986,11074,0.721,27.9,21.2,27.6,23.7,3043,,167,111,13.2,0.701,0.0360,42.6,,,70.7%,1.0%,28.2%,24.7%,17.1%,58.1%,,,34.4%,,36.5%,28.7%,0.3%,4.7%,,,59.2%,28.3%,12.5%
Car,All,1987,10826,0.728,28.0,21.2,27.7,23.8,3035,,162,113,13.3,0.732,0.0365,42.7,,,76.4%,1.1%,22.6%,24.8%,15.5%,59.7%,,,26.5%,,42.4%,30.8%,0.2%,14.6%,,,63.2%,24.8%,12.1%
Car,All,1988,10845,0.709,28.5,21.4,28.1,24.1,3051,,161,116,13.3,0.758,0.0375,43.7,,,80.9%,0.8%,18.3%,24.3%,9.5%,66.2%,,,16.1%,,53.7%,30.2%,0.0%,19.7%,,,64.5%,22.8%,12.7%
Car,All,1989,10126,0.701,28.1,20.8,27.8,23.6,3104,,163,121,12.5,0.782,0.0387,43.7,,,81.6%,1.0%,17.4%,21.1%,9.5%,69.3%,0.1%,,9.6%,,62.2%,28.1%,0.0%,24.1%,,,58.0%,28.7%,13.4%
Car,All,1990,8875,0.704,27.7,20.4,27.4,23.3,3178,,163,129,11.4,0.829,0.0401,44.2,,,84.0%,1.0%,15.0%,19.8%,7.4%,72.8%,0.0%,,1.4%,,77.4%,21.2%,0.0%,32.8%,0.6%,,58.4%,28.9%,12.7%
Car,All,1991,8747,0.696,27.8,20.4,27.4,23.3,3168,,164,133,11.3,0.847,0.0413,44.2,,,81.1%,1.3%,17.5%,20.6%,5.7%,73.7%,0.0%,,0.1%,,77.2%,22.6%,0.1%,33.2%,2.4%,,60.4%,27.6%,12.0%
Car,All,1992,8350,0.686,27.4,19.8,27.2,22.9,3254,,171,141,10.8,0.864,0.0427,44.7,,,78.4%,1.1%,20.5%,17.6%,6.0%,76.4%,0.0%,,0.0%,,88.9%,11.0%,0.1%,34.0%,4.4%,,55.5%,29.4%,15.2%
Car,All,1993,8929,0.676,27.6,19.9,27.3,23.0,3241,,170,140,10.1,0.859,0.0427,45.1,,,80.6%,1.1%,18.3%,17.5%,4.9%,77.6%,0.0%,,0.0%,,91.5%,8.5%,,34.8%,4.5%,,54.7%,32.7%,12.6%
Car,All,1994,8747,0.619,27.7,19.8,27.4,23.0,3268,,169,144,9.9,0.880,0.0432,45.5,,,81.3%,0.4%,18.3%,16.9%,4.1%,78.9%,,,,,94.8%,5.2%,0.0%,39.9%,7.7%,,57.0%,28.2%,14.8%
Car,All,1995,9616,0.635,28.1,19.8,27.9,23.3,3274,,168,153,9.8,0.941,0.0460,46.2,,,80.1%,1.1%,18.8%,16.3%,1.8%,81.9%,,,,,98.6%,1.3%,0.1%,51.4%,9.6%,,56.3%,30.0%,13.7%
Car,All,1996,8177,0.622,28.0,19.7,27.6,23.1,3297,,167,155,10.1,0.952,0.0463,46.4,,,83.7%,1.4%,14.8%,14.9%,1.5%,83.6%,0.0%,,,,98.8%,1.1%,0.1%,56.4%,11.3%,,52.9%,33.9%,13.2%
Car,All,1997,8695,0.601,28.2,19.7,27.6,23.2,3285,,165,156,10.0,0.970,0.0468,46.5,,,83.8%,1.7%,14.5%,13.9%,0.8%,85.2%,0.1%,,,,99.2%,0.8%,0.1%,58.4%,10.8%,,54.5%,31.7%,13.7%
Car,All,1998,8425,0.583,28.1,19.5,27.5,23.0,3334,,167,160,10.2,0.983,0.0473,47.1,,,82.9%,2.1%,15.0%,12.2%,0.3%,87.4%,0.1%,,,,99.7%,0.1%,0.2%,59.6%,17.4%,,47.7%,41.4%,10.8%
Car,All,1999,8865,0.583,27.8,19.2,27.0,22.7,3390,,168,164,10.1,1.000,0.0479,47.3,,,83.2%,2.1%,14.7%,10.8%,0.6%,88.6%,0.0%,,,,99.8%,0.1%,0.2%,63.2%,16.4%,,45.8%,42.2%,12.0%
Car,All,2000,9742,0.588,27.7,19.0,26.7,22.5,3401,,168,168,9.5,1.021,0.0489,47.3,,,80.4%,2.0%,17.7%,10.8%,1.0%,88.1%,0.0%,,,,99.7%,0.1%,0.2%,63.2%,22.2%,0.1%,45.8%,37.1%,17.1%
Car,All,2001,9148,0.586,27.9,19.1,26.7,22.6,3411,,167,169,9.4,1.035,0.0491,48.0,,,80.3%,3.0%,16.7%,11.0%,0.8%,88.0%,0.2%,,,,99.8%,,0.2%,65.3%,26.9%,0.2%,48.2%,35.8%,16.0%
Car,All,2002,8903,0.552,28.3,19.2,26.8,22.8,3415,,167,173,9.4,1.061,0.0502,48.6,,,82.9%,3.6%,13.5%,10.9%,0.2%,88.4%,0.4%,,,,99.6%,,0.4%,69.9%,32.8%,0.3%,46.6%,39.0%,14.5%
Car,All,2003,8496,0.539,28.7,19.3,27.1,23.0,3437,,166,176,9.1,1.082,0.0508,49.7,,,80.9%,3.2%,15.9%,10.9%,,87.7%,1.4%,,,,99.7%,,0.3%,73.4%,39.8%,0.6%,47.8%,36.9%,15.3%
Car,All,2004,8176,0.520,28.5,19.1,27.0,22.9,3492,,170,184,9.0,1.101,0.0520,50.3,,,80.2%,5.3%,14.5%,9.8%,0.2%,88.2%,1.7%,,,,99.7%,,0.3%,77.1%,43.7%,0.9%,44.3%,38.9%,16.8%
Car,All,2005,8839,0.556,29.1,19.4,27.2,23.1,3498,,168,183,9.0,1.108,0.0516,51.5,,,79.2%,6.6%,14.2%,8.8%,0.1%,88.4%,2.8%,,,,99.6%,,0.4%,77.2%,49.4%,1.9%,40.6%,40.7%,18.6%
Car,All,2006,8744,0.579,28.9,19.2,27.1,23.0,3563,,173,194,8.8,1.138,0.0536,52.2,,,75.9%,6.0%,18.0%,8.8%,0.1%,88.4%,2.7%,,,,99.4%,,0.6%,81.3%,58.2%,1.5%,42.2%,35.8%,22.1%
Car,All,2007,9001,0.589,29.8,19.8,27.8,23.7,3551,,167,191,8.9,1.154,0.0530,53.9,,,81.0%,5.6%,13.4%,7.8%,0.0%,82.5%,9.7%,,,0.3%,99.7%,,0.0%,84.6%,63.3%,3.2%,40.0%,42.7%,17.3%
Car,All,2008,8243,0.593,30.1,20.0,28.0,23.9,3569,,166,194,8.9,1.174,0.0534,54.6,,,78.8%,7.1%,14.1%,7.2%,0.3%,81.7%,10.8%,,,3.1%,96.9%,,0.1%,88.0%,62.7%,3.3%,39.6%,40.0%,20.4%
Car,All,2009,6244,0.670,31.6,21.0,29.2,25.0,3502,,157,186,8.9,1.189,0.0522,56.3,,,83.5%,6.3%,10.2%,6.2%,0.3%,82.4%,11.1%,,,4.2%,95.2%,,0.6%,92.2%,79.1%,2.9%,43.0%,39.3%,17.8%
Car,All,2010,6976,0.628,32.6,21.7,29.9,25.7,3536,,158,190,8.8,1.203,0.0528,59.6,,,82.5%,6.3%,11.2%,5.0%,1.6%,79.4%,14.0%,,,9.2%,89.9%,,0.9%,93.8%,91.8%,5.6%,42.4%,40.3%,17.3%
Car,All,2011,6949,0.578,32.3,21.4,30.2,25.6,3617,,160,200,8.6,1.250,0.0544,60.0,,,80.1%,8.6%,11.3%,4.6%,0.5%,83.0%,12.0%,,,18.4%,80.6%,,0.9%,94.5%,94.8%,3.4%,29.2%,40.5%,17.1%
Car,All,2012,8658,0.644,34.4,22.7,31.7,27.1,3519,,150,192,8.6,1.274,0.0535,62.6,,,83.8%,7.5%,8.8%,4.9%,1.8%,78.4%,15.0%,,,27.4%,71.3%,,1.0%,98.0%,97.5%,5.1%,,,
Car,All,2013,9740,0.641,35.5,23.4,32.5,27.9,3543,,147,197,8.5,1.341,0.0545,65.7,,,83.0%,7.7%,9.3%,4.8%,2.2%,75.0%,18.1%,,,37.3%,61.1%,,1.1%,98.0%,97.6%,5.9%,,,
Car,All,2014,9205,0.593,35.6,23.5,32.6,27.9,3559,,148,198,8.4,1.346,0.0545,66.0,,,81.3%,8.2%,10.6%,4.0%,2.7%,68.4%,25.0%,,,42.7%,55.5%,,1.3%,97.6%,97.3%,4.8%,,,
Car,All,2015,-,0.596,36.2,23.8,33.2,28.4,3579,,146,200,8.3,1.374,0.0547,68.8,,,79.1%,9.8%,11.0%,5.5%,2.8%,65.4%,26.2%,,,46.4%,50.8%,,1.4%,97.0%,96.6%,4.9%,,,
Truck,Van,1975,457,0.045,13.1,10.6,11.9,11.1,4196,,318,143,,0.448,0.0341,28.1,,,,,100.0%,23.3%,76.7%,,,,99.8%,,,0.2%,,,,,0.4%,66.1%,33.6%
Truck,Van,1976,502,0.041,13.9,11.1,12.8,11.8,4200,,324,146,,0.447,0.0347,29.7,,,,,100.0%,20.5%,79.5%,,,,99.7%,,,0.3%,,,,,0.3%,61.4%,38.3%
Truck,Van,1977,514,0.036,14.7,11.9,13.3,12.5,4252,,332,152,,0.458,0.0359,31.7,,,,,100.0%,14.3%,85.7%,,,,99.6%,,,0.4%,,,,,0.4%,61.0%,38.6%
Truck,Van,1978,625,0.043,14.2,11.6,12.7,12.1,4250,,329,149,13.4,0.453,0.0351,30.8,,,,,100.0%,13.0%,87.0%,,,,99.6%,,,0.4%,,,,,0.4%,63.8%,35.8%
Truck,Van,1979,481,0.035,13.5,11.1,12.1,11.5,4541,,322,144,15.5,0.451,0.0317,31.3,,,,,100.0%,14.8%,78.4%,6.8%,,,98.2%,,,1.8%,,,,,1.8%,65.1%,33.1%
Truck,Van,1980,242,0.021,16.6,13.3,15.4,14.1,4353,,288,131,16.5,0.459,0.0299,36.4,,,,,100.0%,26.0%,35.0%,39.0%,,,93.5%,,,6.5%,,,,,6.5%,53.8%,39.7%
Truck,Van,1981,245,0.023,17.5,14.0,16.0,14.8,4324,,284,129,16.5,0.458,0.0298,38.0,,,0.3%,,99.7%,21.9%,31.4%,46.6%,,,95.4%,,,4.6%,,,,,4.6%,56.3%,39.2%
Truck,Van,1982,311,0.032,17.3,13.9,15.9,14.7,4342,,287,132,17.6,0.463,0.0303,38.0,,,,,100.0%,15.7%,38.5%,45.8%,,,95.2%,,,3.0%,1.8%,,,,4.8%,58.0%,37.2%
Truck,Van,1983,383,0.037,17.7,14.1,16.5,15.1,4414,,294,136,15.7,0.466,0.0307,39.7,,,0.2%,,99.8%,12.0%,28.6%,59.3%,,,92.0%,,,3.5%,4.5%,,,,3.7%,60.1%,36.2%
Truck,Van,1984,676,0.048,18.9,15.0,17.7,16.1,4075,,249,126,15.9,0.538,0.0307,39.3,,,22.3%,,77.7%,15.5%,39.0%,45.6%,,0.0%,89.0%,,6.6%,3.1%,1.2%,,,,12.2%,62.1%,25.7%
Truck,Van,1985,855,0.059,19.5,15.5,18.1,16.5,3975,,236,129,15.3,0.578,0.0322,39.3,,,30.4%,0.3%,69.3%,10.0%,42.7%,47.4%,,,90.4%,,6.3%,2.9%,0.3%,,,,10.9%,70.1%,19.0%
Truck,Van,1986,1044,0.068,20.6,16.1,19.4,17.5,3998,,228,127,14.7,0.588,0.0317,41.5,,,24.4%,1.3%,74.3%,8.5%,31.4%,60.1%,,,61.5%,,21.8%,16.3%,0.4%,,,,9.8%,74.9%,15.3%
Truck,Van,1987,1114,0.075,20.9,16.2,19.8,17.7,3972,,226,142,13.9,0.657,0.0356,41.7,,,27.5%,1.9%,70.5%,6.4%,25.7%,67.6%,,0.2%,23.9%,,45.8%,30.2%,0.1%,,,,11.3%,76.2%,12.5%
Truck,Van,1988,1133,0.074,21.2,16.2,20.3,17.9,4053,,229,147,13.9,0.671,0.0363,43.2,,,36.3%,0.8%,63.0%,3.7%,17.6%,78.7%,,,0.2%,,56.9%,42.8%,0.1%,,,,4.9%,83.0%,12.1%
Truck,Van,1989,1278,0.088,21.1,16.1,20.2,17.8,4057,,225,146,13.4,0.680,0.0360,43.2,,,34.4%,0.7%,64.9%,2.9%,20.5%,76.5%,,0.0%,,,58.1%,41.8%,0.1%,,,,2.8%,86.1%,11.1%
Truck,Van,1990,1262,0.100,21.2,16.0,20.4,17.8,4095,,225,149,12.5,0.682,0.0363,43.8,,,46.8%,6.6%,46.7%,1.8%,4.7%,93.5%,,0.0%,,,58.1%,41.9%,0.1%,,,,2.4%,89.1%,8.5%
Truck,Van,1991,1034,0.082,21.4,16.0,20.5,17.9,4133,,220,149,12.7,0.701,0.0359,44.5,,,38.2%,10.9%,50.9%,1.4%,2.1%,96.5%,,,,,63.3%,36.6%,0.1%,,,,1.5%,91.2%,7.3%
Truck,Van,1992,1221,0.100,21.5,15.9,20.5,17.9,4151,,222,152,12.2,0.705,0.0366,44.8,,,45.4%,5.5%,49.1%,1.6%,2.0%,96.4%,,,,,71.9%,28.1%,0.1%,,,,3.3%,89.1%,7.6%
Truck,Van,1993,1441,0.109,21.9,16.0,21.0,18.2,4105,,218,155,11.2,0.730,0.0378,45.0,,,49.8%,4.5%,45.6%,1.2%,1.7%,97.2%,,,,,79.0%,21.0%,,,,,0.8%,91.8%,7.4%
Truck,Van,1994,1418,0.100,21.5,15.7,20.5,17.8,4156,,226,159,11.0,0.721,0.0384,44.9,,,52.3%,6.4%,41.3%,0.5%,2.1%,97.4%,,,,,81.2%,18.8%,,3.5%,,,0.8%,91.4%,7.9%
Truck,Van,1995,1662,0.110,21.8,15.8,21.0,18.1,4110,,231,159,11.2,0.708,0.0387,45.0,,,61.3%,9.1%,29.6%,0.1%,1.6%,98.2%,,,,,87.4%,12.6%,,4.5%,,,0.4%,93.4%,6.3%
Truck,Van,1996,1409,0.107,22.2,15.9,21.4,18.3,4195,,220,171,11.3,0.790,0.0408,46.8,,,73.8%,2.3%,23.9%,0.0%,1.6%,98.4%,,,,,100.0%,,,5.7%,,,0.1%,92.1%,7.8%
Truck,Van,1997,1265,0.088,22.1,15.7,21.2,18.2,4240,,220,174,11.2,0.802,0.0410,46.9,,,64.8%,4.7%,30.6%,,0.4%,99.6%,,,,,100.0%,,,6.3%,,,,89.0%,11.0%
Truck,Van,1998,1489,0.103,22.7,16.0,22.0,18.7,4183,,217,180,11.1,0.840,0.0431,47.7,,,78.3%,3.2%,18.4%,,,100.0%,,,,,100.0%,,,10.4%,,,,91.1%,8.9%
Truck,Van,1999,1463,0.096,22.3,15.6,21.5,18.3,4306,,223,183,11.1,0.832,0.0424,48.1,,,76.0%,2.7%,21.3%,,,100.0%,,,,,100.0%,,,12.5%,8.2%,,,88.3%,11.7%
Truck,Van,2000,1691,0.102,22.8,15.9,21.8,18.6,4276,,217,183,10.6,0.858,0.0428,48.9,,,80.6%,2.7%,16.7%,,,100.0%,,,,,100.0%,,,21.6%,15.0%,,,90.0%,10.0%
Truck,Van,2001,1232,0.079,22.1,15.3,21.1,18.0,4518,,229,202,10.1,0.897,0.0447,50.3,,,69.3%,8.7%,22.1%,,,100.0%,,,,,100.0%,,,22.6%,17.0%,,,76.2%,23.8%
Truck,Van,2002,1243,0.077,23.1,15.9,21.9,18.7,4394,,218,199,10.1,0.929,0.0455,50.9,,,84.3%,3.0%,12.6%,,,100.0%,,,,,100.0%,,,28.4%,20.9%,,,91.0%,9.0%
Truck,Van,2003,1232,0.078,23.5,16.0,22.2,19.0,4393,,219,202,10.0,0.929,0.0459,51.7,,,83.5%,5.0%,11.4%,,,100.0%,,,,,100.0%,,,25.8%,19.6%,,,91.0%,9.0%
Truck,Van,2004,953,0.061,23.7,16.0,22.7,19.2,4487,,219,214,9.7,0.988,0.0477,53.4,,,86.6%,4.9%,8.5%,,,100.0%,,,,,100.0%,,,52.3%,46.1%,,,93.7%,6.3%
Truck,Van,2005,1481,0.093,24.0,16.1,22.8,19.3,4430,,216,209,9.7,0.976,0.0472,53.2,,,89.2%,5.5%,5.4%,,,94.9%,5.1%,,,,100.0%,,,38.0%,25.0%,,,96.3%,3.7%
Truck,Van,2006,1166,0.077,24.3,16.2,23.1,19.5,4475,,216,211,9.7,0.984,0.0472,54.4,,,89.8%,4.5%,5.7%,,,95.3%,4.7%,,,,100.0%,,,46.8%,36.4%,,,94.0%,6.0%
Truck,Van,2007,847,0.055,24.2,16.1,23.1,19.5,4479,,219,225,9.4,1.034,0.0503,54.3,,,93.8%,2.9%,3.3%,,,95.5%,4.5%,,,,100.0%,,,53.1%,48.7%,,,96.3%,3.7%
Truck,Van,2008,790,0.057,24.6,16.4,23.5,19.8,4527,,220,221,9.6,1.010,0.0488,55.9,,,92.9%,4.0%,3.1%,0.1%,,99.9%,,,,,100.0%,,,52.8%,48.1%,,2.1%,94.5%,3.4%
Truck,Van,2009,368,0.040,25.0,16.7,23.7,20.1,4572,,215,220,9.4,1.033,0.0482,57.2,,,94.1%,2.5%,3.4%,0.3%,,99.7%,,,,,100.0%,,,58.9%,47.1%,,6.0%,89.9%,4.1%
Truck,Van,2010,559,0.050,25.0,16.7,23.7,20.1,4533,,214,212,9.7,1.001,0.0467,56.8,,,96.3%,1.6%,2.1%,0.2%,,99.8%,,,,,100.0%,,,51.8%,37.7%,,3.6%,93.7%,2.7%
Truck,Van,2011,521,0.043,26.3,17.5,24.7,21.0,4502,,212,259,8.4,1.224,0.0574,59.2,,,91.4%,5.6%,2.9%,,,96.9%,3.1%,,,,100.0%,,,96.6%,92.5%,,,93.4%,3.4%
Truck,Van,2012,662,0.049,26.6,17.7,25.3,21.3,4442,,210,254,8.5,1.211,0.0570,59.3,,,93.4%,3.1%,3.5%,0.2%,,96.6%,3.2%,,,,100.0%,,,96.0%,91.7%,,,,
Truck,Van,2013,571,0.038,26.3,17.5,25.0,21.1,4543,,209,257,8.5,1.228,0.0563,59.8,,,93.1%,4.1%,2.8%,0.1%,,96.9%,3.0%,,,,100.0%,,,96.6%,90.3%,,,,
Truck,Van,2014,672,0.043,26.6,17.7,25.2,21.3,4489,,213,260,8.3,1.224,0.0579,60.0,,,93.3%,3.8%,2.9%,0.1%,,97.1%,2.8%,,,0.3%,99.7%,,,96.5%,97.8%,,,,
Truck,Van,2015,-,0.035,27.6,18.4,25.7,21.9,4405,,203,250,8.5,1.226,0.0563,60.8,,,94.4%,4.1%,1.5%,,,90.5%,9.5%,,,3.7%,96.3%,,,99.8%,100.0%,,,,
Truck,Truck SUV,1975,177,0.017,13.0,10.6,11.5,11.0,4214,,332,148,,0.443,0.0361,27.2,,,,88.9%,11.1%,39.8%,60.2%,,,,100.0%,,,,,,,,26.7%,67.3%,6.1%
Truck,Truck SUV,1976,232,0.019,13.9,11.2,12.5,11.8,4328,,339,142,,0.415,0.0333,29.8,,,,89.5%,10.5%,32.2%,67.8%,,,,100.0%,,,,,,,,22.6%,70.5%,6.9%
Truck,Truck SUV,1977,264,0.019,15.1,12.2,13.7,12.8,4248,,337,145,,0.428,0.0345,32.0,,,,88.4%,11.6%,32.6%,67.4%,,,,100.0%,,,,,,,,21.5%,71.9%,6.6%
Truck,Truck SUV,1978,364,0.025,14.5,11.6,13.2,12.3,4282,,342,150,13.2,0.435,0.0353,30.8,,,,92.4%,7.6%,32.1%,67.9%,,,,100.0%,,,,,,,,21.4%,73.3%,5.4%
Truck,Truck SUV,1979,385,0.028,12.4,10.3,10.8,10.5,4561,,337,145,14.8,0.433,0.0323,28.3,,,,72.2%,27.8%,33.1%,66.5%,0.4%,,,99.8%,,,,0.2%,,,,23.7%,48.0%,28.3%
Truck,Truck SUV,1980,184,0.016,15.5,12.5,14.1,13.2,4237,,295,131,15.7,0.453,0.0307,32.9,,,,88.9%,11.1%,43.6%,30.3%,26.1%,,,97.7%,,,,2.3%,,,,32.9%,54.3%,12.8%
Truck,Truck SUV,1981,136,0.013,16.8,13.4,15.5,14.3,4208,,290,132,15.4,0.460,0.0315,35.4,,,,90.5%,9.5%,41.0%,17.9%,41.1%,,,100.0%,,,,,,,,31.4%,58.2%,10.4%
Truck,Truck SUV,1982,150,0.015,17.3,13.7,16.2,14.7,4494,,305,133,16.8,0.444,0.0300,39.9,,,,86.2%,13.8%,31.9%,23.1%,45.0%,,,83.4%,,,,16.6%,,,,21.1%,64.4%,14.5%
Truck,Truck SUV,1983,256,0.025,18.5,14.5,17.7,15.8,4270,,265,127,15.5,0.507,0.0300,40.3,,,,91.3%,8.7%,33.7%,13.6%,52.3%,,0.4%,92.4%,,,,7.6%,,,,16.7%,71.4%,11.9%
Truck,Truck SUV,1984,570,0.041,19.0,14.9,18.0,16.2,4049,,231,122,15.6,0.554,0.0300,39.0,,,,93.3%,6.7%,30.3%,28.9%,40.8%,,,97.5%,,,,2.5%,,,,24.9%,66.5%,8.6%
Truck,Truck SUV,1985,648,0.045,19.4,15.1,18.7,16.5,4092,,222,123,15.4,0.583,0.0299,40.2,,,,91.3%,8.7%,29.5%,13.6%,56.9%,,,92.9%,,4.4%,1.0%,1.7%,,,,17.8%,73.3%,8.9%
Truck,Truck SUV,1986,714,0.046,20.1,15.6,19.1,17.0,3958,,210,128,14.0,0.653,0.0323,40.0,,,,93.3%,6.7%,38.9%,7.5%,53.6%,,,51.8%,,25.9%,20.6%,1.7%,,,,24.7%,67.1%,8.2%
Truck,Truck SUV,1987,779,0.052,20.4,15.8,19.5,17.3,3882,,212,137,13.5,0.680,0.0353,39.7,,,,94.1%,5.9%,39.6%,9.4%,51.0%,,,27.8%,,33.1%,38.7%,0.5%,,,,29.8%,62.9%,7.3%
Truck,Truck SUV,1988,859,0.056,20.2,15.5,19.2,17.0,3906,,222,144,13.3,0.682,0.0369,39.4,,,,94.3%,5.7%,34.5%,8.0%,57.5%,,,17.6%,,47.3%,34.8%,0.3%,,,,29.1%,62.9%,8.1%
Truck,Truck SUV,1989,818,0.057,19.7,15.0,18.6,16.6,4086,,244,156,12.4,0.665,0.0384,40.3,,,,93.5%,6.5%,26.0%,8.5%,65.6%,,,6.9%,,46.3%,46.5%,0.3%,,,,23.6%,67.3%,9.0%
Truck,Truck SUV,1990,643,0.051,19.6,14.8,18.6,16.4,4098,,235,155,11.7,0.694,0.0381,40.1,,,,92.5%,7.5%,29.1%,4.1%,66.8%,,,5.2%,,56.7%,37.8%,0.3%,,,,25.3%,63.5%,11.2%
Truck,Truck SUV,1991,871,0.069,20.0,15.0,19.1,16.7,4157,,233,162,11.6,0.709,0.0391,41.6,,,,96.3%,3.7%,21.8%,1.7%,76.5%,,,0.4%,,62.2%,37.2%,0.2%,,,,10.2%,83.5%,6.2%
Truck,Truck SUV,1992,761,0.062,19.4,14.5,18.5,16.2,4204,,235,170,11.0,0.738,0.0408,40.8,,,,95.4%,4.6%,21.7%,0.9%,77.4%,,,,,74.5%,25.5%,,,,,10.6%,79.5%,9.8%
Truck,Truck SUV,1993,838,0.063,19.6,14.5,18.6,16.3,4331,,244,179,10.1,0.753,0.0419,42.3,,,,93.1%,6.9%,19.1%,0.9%,79.9%,,,,,83.0%,17.0%,,,,,11.4%,73.2%,15.4%
Truck,Truck SUV,1994,1291,0.091,19.3,14.3,18.2,16.0,4331,,245,180,10.1,0.756,0.0420,41.8,,,,95.7%,4.3%,15.2%,,84.8%,,,,,84.7%,15.3%,,13.4%,,,9.8%,77.1%,13.1%
Truck,Truck SUV,1995,1596,0.105,19.3,14.2,18.2,16.0,4323,,245,177,10.4,0.751,0.0414,41.8,,,,90.1%,9.9%,15.0%,,85.0%,,,,,84.9%,15.1%,,15.1%,,,10.3%,75.3%,14.4%
Truck,Truck SUV,1996,1603,0.122,19.6,14.2,18.7,16.2,4386,,259,189,10.5,0.744,0.0432,43.1,,,,83.8%,16.2%,6.1%,,93.9%,,,,,100.0%,,0.0%,13.5%,,,4.9%,80.0%,15.0%
Truck,Truck SUV,1997,2089,0.145,19.6,14.2,18.4,16.1,4463,,255,190,10.5,0.765,0.0427,43.7,,,,81.9%,18.1%,9.7%,,90.3%,,,,,100.0%,,0.0%,19.1%,,,16.3%,56.9%,26.8%
Truck,Truck SUV,1998,2127,0.147,19.7,14.1,18.5,16.2,4450,,252,192,10.7,0.786,0.0432,43.9,,,,86.2%,13.8%,7.5%,,92.5%,,,,,100.0%,,0.0%,22.0%,,,10.9%,58.9%,30.2%
Truck,Truck SUV,1999,2342,0.154,19.6,14.1,18.4,16.1,4518,,253,204,10.4,0.837,0.0452,44.4,,,,79.4%,20.6%,5.9%,,94.1%,,,,,100.0%,,,26.4%,2.9%,,10.6%,57.4%,32.0%
Truck,Truck SUV,2000,2526,0.152,19.6,14.0,18.2,16.0,4602,,253,206,10.0,0.839,0.0449,45.2,,,,83.5%,16.5%,4.9%,,95.1%,,,,,100.0%,,,22.7%,2.5%,,10.6%,54.7%,34.7%
Truck,Truck SUV,2001,2707,0.173,20.2,14.4,18.6,16.4,4546,,239,213,9.6,0.920,0.0469,46.0,,,7.4%,76.5%,16.1%,3.8%,,96.2%,,,,,100.0%,,,39.6%,14.4%,,9.3%,51.1%,39.6%
Truck,Truck SUV,2002,3588,0.223,20.1,14.1,18.7,16.3,4636,,245,229,9.4,0.952,0.0493,46.6,,,1.7%,74.5%,23.9%,3.2%,,96.7%,0.0%,,,,100.0%,,,44.2%,25.0%,,6.8%,37.6%,55.6%
Truck,Truck SUV,2003,3571,0.226,20.3,14.1,18.8,16.4,4754,,247,233,9.3,0.967,0.0492,48.2,,,2.6%,73.7%,23.7%,2.2%,,96.5%,1.3%,,,,100.0%,,,51.6%,33.4%,,5.8%,46.0%,48.2%
Truck,Truck SUV,2004,4075,0.259,20.4,14.1,19.0,16.5,4756,,252,240,9.1,0.973,0.0505,48.5,,,2.8%,74.8%,22.4%,2.2%,,96.7%,1.0%,,,,100.0%,,0.0%,53.2%,38.4%,,5.2%,49.1%,45.7%
Truck,Truck SUV,2005,3272,0.206,20.8,14.3,19.2,16.7,4756,,244,244,8.9,1.018,0.0512,49.6,,,2.9%,77.2%,19.9%,2.2%,,96.3%,1.5%,,,,99.7%,,0.3%,64.3%,50.0%,0.2%,5.3%,49.0%,45.7%
Truck,Truck SUV,2006,3006,0.199,21.4,14.7,19.7,17.2,4715,,236,240,9.0,1.028,0.0507,50.9,,,5.1%,77.2%,17.7%,2.4%,,93.0%,4.6%,,,,99.7%,,0.3%,69.8%,60.2%,3.1%,4.4%,54.0%,41.6%
