,Air,Air carriera,General aviationb (active fleet),Highway total (registered vehicles),Light duty vehicle short wheel basec,Passenger carsc,Motorcycle,Light duty vehicle long wheel basec,Other 2-axle 4-tire vehiclesc,Truck single-unit 2-axle 6-tire or morecde,Truck combinationde,Bus,Transitf,Motor busg,Light rail carsh,Heavy rail cars,Trolley bus,Commuter rail cars and locomotives,Demand responsive,Otheri,Rail,Class I freight cars,Class I locomotive,Nonclass I freight cars,Car companies and shippers freight cars,Amtrak passenger train car,Amtrak locomotive,Water ,Nonself-propelled vesselsjk,Self-propelled vesselsnl,Oceangoing self-propelled vessels (1000 gross tons and over)m,Recreational boatsn
2009,,7169,223877,254212610,193979654,N,7929724,40488025,N,8356097,2617118,841993,,63343,2059,11461,531,6722,34235,17766,,416180,24045,108233,839020,1214,274,,31008,9101,217,12721541
2010,,7185,223370,250070048,190202782,N,8009503,40241658,N,8217189,2552865,846051,,63108,2096,11510,571,6768,33555,18066,,397730,23893,101755,809544,1274,282,,31412,9100,221,12438926
2011,,7168,222250,253215681,183522635,N,8437502,50318787,N,7819055,2451638,666064,,61127,2284,14942,479,6971,31846,18965,,380699,24250,95972,806554,1301,287,,31498,9023,214,12173935
2012,,6914,209034,253639386,183171882,N,8454939,50588676,N,8190286,2469094,764509,,61245,2348,10469,570,6938,31929,16996,,380641,24707,92742,842802,2090,485,,31550,8980,198,12101936
2013,,6740,199927,255876822,184497490,N,8404687,51512740,N,8126007,2471349,864549,,66823,2842,10380,560,7150,31433,17793,,373838,25033,88122,873679,1447,418,,31081,8918,187,12013496
2014,,6761,204408,260350938,187554928,N,8417718,52600309,N,8328759,2577197,872027,,62449,2444,10551,537,7177,31359,17994,,371642,25916,N,N,1419,428,,31043,9039,179,11804002
2015,,6876,210030,263610219,189618308,N,8600936,53298884,N,8456302,2746882,888907,,63573,2478,10737,611,7151,32490,18601,,330996,26574,N,N,1428,423,,31748,9043,170,11867049
2016,,7034,211793,268799083,192774508,N,8679380,54870473,N,8746518,2752043,976161,,63270,2553,10775,601,7190,33225,17042,,315227,26716,N,N,1402,434,,32354,8974,169,11861811
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
