"","scaleYear","numCars","propEVS","gasolineConsumptionWithEVs","averageGasolineConsumptionWithEVs","efficiencyWithEVs","totalVMT","propCars","propCarSUV","propTruck","scaledEfficiencyWithEVs","scaledGasolineConsumptionWithEVs","EV_VMT","EV_Efficiency"
"1",0,18075,0,128135258729.514,708.908761989012,20.0509504399167,210817633.015455,0.54655601659751,0.0232918395573997,0.148381742738589,15.1827356183153,169220737749.794,0,NA
"2",1,18500,0,128681957253.25,695.578147314864,20.0592758164735,215302586.510677,0.546378378378378,0.0240540540540541,0.148,15.1890396581943,169942730497.384,0,NA
"3",2,18853,0,129223614218.976,685.427328377319,20.0665692107104,218650454.398523,0.54622606481727,0.0246114676709277,0.149047896886437,15.1945622730345,170658065154.342,0,NA
"4",3,19343,0,129794395514.916,671.014814221763,20.0784753609621,224079047.651809,0.54686449878509,0.0248668769063744,0.150390322080339,15.2035777026045,171411862609.862,0,NA
"5",4,19718,0,130377158066.282,661.208834903549,20.0877525877177,227856767.165996,0.546607160969672,0.0256618318287859,0.151840957500761,15.210602490857,172181483008.283,0,NA
"6",5,20100,0,130941024233.354,651.447881757981,20.0998216435839,231668823.199661,0.546019900497512,0.0263681592039801,0.153930348258706,15.2197412738253,172926148057.78,0,NA
"7",6,20423,0,131430815583.319,643.543140495123,20.1292368151026,234824234.848782,0.547911668217206,0.0269793859863879,0.156147480781472,15.2420146704743,173572986831.169,0,NA
"8",7,20741,0,131950283631.105,636.180915245672,20.1484087672468,237977986.770773,0.547418157273034,0.0284942866785594,0.158864085627501,15.2565318217466,174259017882.695,0,NA
"9",8,20978,0,132441149309.535,631.333536607567,20.1761709096417,239952811.697294,0.548002669463247,0.0303174754504719,0.161216512536943,15.2775535318867,174907275458.819,0,NA
"10",9,21239,0,132964442852.042,626.03909248101,20.1958161836709,242459281.586207,0.546918404821319,0.032346155657046,0.164838269221715,15.2924290861717,175598358617.355,0,NA
"11",10,21538,0,133100834463.504,617.981402467752,20.25825813387,245605961.88855,0.546568855046894,0.0342650199647135,0.168585755409044,15.3397106165014,175778483036.999,0,NA
"12",11,21674,0,133045916778.76,613.850312719203,20.3461837938671,246547889.10622,0.545307741995017,0.0367260311894436,0.172049460182707,15.4062886100884,175705956464.531,0,NA
"13",12,21957,0,132681026345.032,604.276660495662,20.4798639453751,249430208.152051,0.545976226260418,0.0390763765541741,0.17625358655554,15.5075122605006,175224067022.035,0,NA
"14",13,22178,0,132218293426.635,596.168696125148,20.6298672290637,251619592.59035,0.544548651817116,0.0418883578320859,0.181170529353413,15.6210959135522,174612962735.763,0,NA
"15",14,22330,0,131485177038.466,588.827483378711,20.8251278258948,252852011.316084,0.545141065830721,0.0447380206000896,0.18423645320197,15.7689487561017,173644778823.758,0,NA
"16",15,22526,0,130663190253.181,580.055004231469,21.039072058445,254887472.526924,0.542839385598864,0.0477670247713753,0.188981621237681,15.9309489929288,172559228978.963,0,NA
"17",16,22647,0,129700423022.533,572.70465413756,21.2806753614984,256157789.422275,0.540071532653332,0.0517066278094229,0.193138163995231,16.1138928930578,171287758638.427,0,NA
"18",17,22790,0,128502351090.388,563.854107461114,21.562389173424,257582998.878527,0.539227731461167,0.0555945590171128,0.197586660816147,16.3272087824621,169705535148.615,0,NA
"19",18,23026,0,127296564488.887,552.838376135183,21.8524740076302,259861891.388046,0.536654216972118,0.0597585338313211,0.201294189177452,16.5468632750426,168113123346.447,0,NA
"20",19,23111,0,125961161230.32,545.026875645017,22.1770091863686,260794824.523802,0.533728527540998,0.0643849249275237,0.205919259227208,16.7926038364385,166349534410.436,0,NA
"21",20,23227,0,124525400283.267,536.123478207547,22.5205577595499,262007886.750259,0.529771386748181,0.0698755758384639,0.210789167778878,17.0527414879823,164453408948.158,0,NA
