"","scaleYear","numCars","propEVS","gasolineConsumptionWithEVs","averageGasolineConsumptionWithEVs","efficiencyWithEVs","totalVMT","propCars","propCarSUV","propTruck","scaledEfficiencyWithEVs","scaledGasolineConsumptionWithEVs","EV_VMT","EV_Efficiency"
"1",0,18106,0,127918012447.607,706.495153250897,20.078719142406,211424911.459526,0.546338230420855,0.0236385728487794,0.148072462167237,15.2037622958098,168933833298.497,0,NA
"2",1,18549,0,128479412175.199,692.648725943173,20.0869067789122,216113893.825897,0.547037576149658,0.0237209553075638,0.147231656693083,15.2099620378512,169675241065.707,0,NA
"3",2,18939,0,129081299418.578,681.563437449588,20.0919049837143,220213588.632062,0.546438565922171,0.024024499709594,0.147684671841174,15.2137467174007,170470118325.694,0,NA
"4",3,19308,0,129579029926.758,671.115754748075,20.1092688599819,223970829.8692,0.54728609902631,0.0243422415579035,0.148539465506526,15.2268947795571,171127441880.741,0,NA
"5",4,19720,0,130144990335.816,659.96445403558,20.1200796137302,227983094.058237,0.547413793103448,0.0246450304259635,0.150709939148073,15.2350807663754,171874872673.074,0,NA
"6",5,20036,0,130611836366.998,651.885787417638,20.1471126808314,231083900.619302,0.54871231782791,0.0255040926332601,0.15167698143342,15.2555504150327,172491408906.703,0,NA
"7",6,20447,0,131101222750.193,641.175833864103,20.1686109743248,235185971.079878,0.548980290507165,0.0262141145400303,0.154986061524918,15.2718290900677,173137712864.178,0,NA
"8",7,20840,0,131594390589.588,631.45101050666,20.195248082204,238999215.680559,0.54947216890595,0.0275911708253359,0.157581573896353,15.2919989153226,173789010769.566,0,NA
"9",8,21226,0,132089442654.333,622.300210375636,20.2216128178334,242843251.885146,0.549750306228211,0.0293507961933478,0.160510694431358,15.3119624981915,174442797061.108,0,NA
"10",9,21410,0,132578988773.541,619.23862108146,20.2518154677289,244409426.77404,0.55035030359645,0.0310602522185894,0.16380196170014,15.3348321795919,175089311972.588,0,NA
