,Car,Car SUV,Van,Pickup,Truck SUV,Other truck
89,685.74,560.74,546.48,610.94,610.94,303.76
90,685.74,560.74,546.48,610.94,610.94,303.76
91,685.74,560.74,546.48,610.94,610.94,303.76
92,685.74,560.74,546.48,610.94,610.94,303.76
93,685.74,560.74,546.48,610.94,610.94,303.76
94,685.74,560.74,546.48,610.94,610.94,303.76
95,685.74,560.74,546.48,610.94,610.94,303.76
96,685.74,560.74,546.48,610.94,610.94,303.76
97,685.74,560.74,546.48,610.94,610.94,303.76
98,685.74,560.74,546.48,610.94,610.94,303.76
99,685.74,560.74,546.48,610.94,610.94,303.76
100,685.74,560.74,546.48,610.94,610.94,303.76
101,685.74,560.74,546.48,610.94,610.94,303.76
102,685.74,560.74,546.48,610.94,610.94,303.76
103,685.74,560.74,546.48,610.94,610.94,303.76
104,685.74,560.74,546.48,610.94,610.94,303.76
105,685.74,560.74,546.48,610.94,610.94,303.76
106,685.74,560.74,546.48,610.94,610.94,303.76
107,685.74,560.74,546.48,610.94,610.94,303.76
108,685.74,560.74,546.48,610.94,610.94,303.76
109,685.74,560.74,546.48,610.94,610.94,303.76
110,685.74,560.74,546.48,610.94,610.94,303.76
111,685.74,560.74,546.48,610.94,610.94,303.76
112,685.74,560.74,546.48,610.94,610.94,303.76
113,685.74,560.74,546.48,610.94,610.94,303.76
114,685.74,560.74,546.48,610.94,610.94,303.76
115,685.74,560.74,546.48,610.94,610.94,303.76
116,685.74,560.74,546.48,610.94,610.94,303.76
117,685.74,560.74,546.48,610.94,610.94,303.76
118,685.74,560.74,546.48,610.94,610.94,303.76
119,685.74,560.74,546.48,610.94,610.94,303.76
