"","scaleYear","numCars","propEVS","gasolineConsumptionWithEVs","averageGasolineConsumptionWithEVs","efficiencyWithEVs","totalVMT","propCars","propCarSUV","propTruck","scaledEfficiencyWithEVs","scaledGasolineConsumptionWithEVs","EV_VMT","EV_Efficiency"
"1",0,18099,0,128101215219.428,707.780624451232,20.0584681174092,211223356.908543,0.545002486325211,0.0234267086579369,0.149179512680259,15.188428062181,169175778478.244,0,NA
"2",1,18576,0,128651423783.341,692.567957489992,20.0710706353156,216348409.116246,0.547049956933678,0.0234711455641688,0.147771317829457,15.1979707867551,169902406730.489,0,NA
"3",2,18985,0,129248160512.455,680.790942915222,20.0726782785444,220552618.434051,0.547116144324467,0.0236502501975244,0.150276534105873,15.1991881067113,170690482007.695,0,NA
"4",3,19379,0,129770051772.603,669.642663566761,20.0849148460388,224434710.424781,0.54682904174622,0.0244078641828784,0.152020228081944,15.2084537307874,171379713253.981,0,NA
"5",4,19839,0,130364852793.274,657.114031923354,20.0907722246232,229165777.57476,0.546650536821412,0.0247492313120621,0.153939210645698,15.2128889834069,172165232154.324,0,NA
"6",5,20140,0,130908843648.166,649.994258431809,20.104930803948,231999726.950065,0.546127110228401,0.0260675273088381,0.156405163853029,15.2236099697893,172883649042.124,0,NA
"7",6,20425,0,131426712467.056,643.460036558414,20.1261929350347,234541921.662542,0.546682986536108,0.0268788249694002,0.157796817625459,15.2397098208132,173567568085.634,0,NA
"8",7,20698,0,131873101061.358,637.129679492503,20.1546137033068,236923985.420265,0.547734080587496,0.0283602280413567,0.159532321963475,15.2612302475898,174157087379.542,0,NA
"9",8,21014,0,132348391465.868,629.810561843857,20.1815807691707,239853447.455171,0.548348719901018,0.0298848386789759,0.160797563529076,15.2816499195969,174784775602.862,0,NA
"10",9,21307,0,132815467421.216,623.341941245676,20.2099310117331,242848275.836581,0.547284929835265,0.0320082601961797,0.16360820387666,15.3031169437577,175401615483.882,0,NA
"11",10,21588,0,132950343471.7,615.852989955996,20.2738084269886,246024101.333783,0.547341115434501,0.0348804891606448,0.166296090420604,15.3514854193924,175579738390.832,0,NA
"12",11,21829,0,132948218974.375,609.044019306314,20.3582705592209,248258630.910173,0.545833524210912,0.036740116358972,0.170644555407944,15.4154408028185,175576932691.54,0,NA
"13",12,22119,0,132607293144.078,599.517578299551,20.4862622746245,251217075.962706,0.545277815452778,0.0391066503910665,0.174555811745558,15.5123571251709,175126691898.389,0,NA
"14",13,22429,0,132128505095.074,589.096727874958,20.6412968909306,254759071.279733,0.543314458959383,0.0419100271969325,0.17923224396986,15.6297505424114,174494384540.668,0,NA
"15",14,22589,0,131519243220.389,582.22693886577,20.8174539775751,256126962.330504,0.540440037186241,0.0454203373323299,0.183806277391651,15.7631380584711,173689768036.676,0,NA
"16",15,22784,0,130735823380.24,573.805404583218,21.0251512467652,257799432.692428,0.538053019662921,0.0485867275280899,0.188904494382022,15.9204080460564,172655151299.392,0,NA
"17",16,23017,0,129726823806.068,563.613085137369,21.2704799262236,260281309.65611,0.535647564843377,0.052569839683712,0.19346569926576,16.1061728301732,171322624608.272,0,NA
"18",17,23189,0,128672360956.001,554.885337685974,21.5282378159903,261783433.18671,0.533097589374272,0.0564491784898012,0.198154297296132,16.3013491090029,169930057229.181,0,NA
"19",18,23371,0,127432679428.375,545.259849507401,21.8256318560066,263525780.164414,0.531085533353301,0.0607590603739677,0.202687090839074,16.5265381890698,168292882381.604,0,NA
"20",19,23396,0,126187785982.636,539.356240308753,22.1330324213606,263570737.646064,0.52863737391007,0.0650111130107711,0.208454436655839,16.7593042879475,166648824458.777,0,NA
"21",20,23412,0,124804083392.802,533.077410698798,22.4661054274474,263399749.579701,0.525926875106783,0.0702203997949769,0.212626003758756,17.0115097586142,164821449422.432,0,NA
"22",21,23511,0,123306891084.927,524.464680723605,22.8263927606236,264204100.674883,0.522691506103526,0.0757943090468291,0.217047339543193,17.284322129411,162844195156.868,0,NA
"23",22,23503,0,121805063478.353,518.253259066301,23.2062404185795,264172799.973022,0.518699740458665,0.0819044377313534,0.221375994553887,17.5719457302603,160860819323.571,0,NA
"24",23,23531,0,120211750107.728,510.865454539662,23.6125031566825,264444872.634166,0.515660192936977,0.0873741022480983,0.225404785177001,17.8795710352389,158756623595.423,0,NA
"25",24,23622,0,118587887521.325,502.023061219731,24.0314536819629,265624067.86156,0.510879688426043,0.0933875201083735,0.229785792904919,18.1968036313469,156612083305.732,0,NA
"26",25,23710,0,116875521061.675,492.937667910903,24.4818120568523,266539775.144503,0.507929143821172,0.0997047659215521,0.23319274567693,18.5378184954516,154350661129.876,0,NA
"27",26,23829,0,115248543703.898,483.648259280279,24.9341895763097,267898929.702608,0.503084476897897,0.107138360820849,0.237106047253347,18.8803622715271,152202007343.907,0,NA
"28",27,23909,0,113603565694.383,475.149800051792,25.3971474327548,268951986.866882,0.49776234890627,0.114392069931825,0.240704337278849,19.2309175610577,150029581150.584,0,NA
"29",28,23957,0,112024416729.258,467.60619747572,25.8579962255751,269137248.68128,0.492799599282047,0.122344200025045,0.244479692782903,19.5798758512084,147944091523.881,0,NA
"30",29,24119,0,110337130132.945,457.469754686946,26.3582729925044,271362088.502234,0.487167793026245,0.131224345951325,0.247481238857332,19.9586893100035,145715790855.864,0,NA
"31",30,24196,0,108851374427.351,449.873427125768,26.825655897932,271921337.237339,0.481649859480906,0.138535295090098,0.251239874359398,20.3125952810391,143753640241.666,0,NA
"32",31,24332,0,107247726223.145,440.768232053036,27.3316745989131,273576459.979452,0.47595758671708,0.147501232944271,0.255096169653132,20.6957565769559,141635795903.6,0,NA
"33",32,24497,0,105675597156.097,431.3817902441,27.8412539335898,275575924.094021,0.469363595542311,0.156794709556272,0.258521451606319,21.0816140123995,139559577045.485,0,NA
"34",33,24665,0,104171276575.196,422.344522907747,28.349683225102,277811639.936161,0.462112304885465,0.165457125481451,0.261990675045611,21.4666006262145,137572908886.882,0,NA
"35",34,24888,0,102811514859.632,413.096732801478,28.832040218547,280082702.704136,0.454315332690453,0.174983927997428,0.265228222436516,21.8318450931572,135777151162.169,0,NA
"36",35,24988,0,101438702050.646,405.949664041322,29.3283605445141,281025424.478894,0.445813990715543,0.184688650552265,0.268048663358412,22.2076627040847,133964157622.12,0,NA
"37",36,25152,0,100090415836.336,397.942174921821,29.8334529489737,282672368.82796,0.438493956743003,0.194338422391858,0.270236959287532,22.590122601071,132183554920.37,0,NA
"38",37,25260,0,98763809927.9397,390.988954584084,30.3352813861184,283661375.481837,0.431155977830562,0.204038004750594,0.272406967537609,22.9701109966212,130431584129.91,0,NA
"39",38,25395,3.93778302815515e-05,97446999000.89,383.725138810356,30.8573764444932,285275814.420786,0.422405985430203,0.214372908052766,0.275290411498326,23.3654454353894,128692548998.114,14753.9068046533,131.666055045871
"40",39,25482,7.84867749784161e-05,96164857567.557,377.383476836814,31.3829147756367,286151489.966138,0.415508986735735,0.223648065300997,0.276940585511341,23.763387147078,126999299837.817,29293.4553915802,132.511009174312
"41",40,25613,0.000156170694569164,94920945549.0928,370.596749889091,31.9118449924265,287678037.475357,0.406551360637176,0.233553273728185,0.279701713973373,24.163897220958,125356538028.558,56456.6605622452,133.778440366973
"42",41,25729,0.000272066539702281,93720314713.3742,364.259453198236,32.4394452555752,289011003.049823,0.398072214232967,0.243382953087955,0.282016401725679,24.5634002435975,123770935144.544,97796.7983497908,135.045871559633
"43",42,25881,0.000425022217070438,92527871777.7204,357.512738216145,32.9748729091869,290713217.096793,0.389822649820331,0.253429156524091,0.283373903635872,24.9688302271726,122196145540.991,152402.881138537,136.274895746456
"44",43,26011,0.000615124370458652,91486247626.5298,351.721377980584,33.4832055554188,291758870.108846,0.381261773864903,0.263773019107301,0.284571911883434,25.3537436604298,120820533480.187,218184.260101977,137.475114678899
"45",44,26174,0.000878734622144112,90342749891.1497,345.162183430694,34.0367353194464,293615285.795644,0.373576831970658,0.273286467486819,0.28612363414075,25.7728807028001,119310382938.37,311824.564768889,138.793059433586
"46",45,26370,0.0012514220705347,89229623630.0294,338.375516230676,34.6000566728586,295790080.912642,0.365794463405385,0.282935153583618,0.287599544937429,26.1994320128059,117840342225.274,443889.030096597,140.218015012511
"47",46,26633,0.00176472796906094,88161897639.0368,331.025035253396,35.1806458782047,299031481.244411,0.3578643036834,0.292231442195772,0.288476701836068,26.6390586745959,116430258992.12,625330.935148198,141.697638102675
"48",47,26656,0.00240096038415366,87199627531.8572,327.129455026475,35.7412986280022,299049598.545969,0.349152160864346,0.300420168067227,0.290853841536615,27.0635892971898,115159445173.456,853105.621582351,143.204959862386
"49",48,26775,0.00328664799253035,86234689052.1861,322.071667795279,36.3271327682479,299877179.368243,0.341549953314659,0.308085901027078,0.292287581699346,27.507187464478,113885107391.396,1167421.85000956,144.666826522102
"50",49,26955,0.00452606195511037,85222046076.611,316.164147937715,36.975193270986,301839762.779523,0.333481728807271,0.316638842515303,0.292932665553701,27.9979039174077,112547769073.254,1611641.15270855,146.224199127689
"51",50,27022,0.00588409444156613,84212182991.2516,311.643042673568,37.6415586694523,302464931.103281,0.326030641699356,0.324957442084228,0.293908667012064,28.5024809797481,111214101993.442,2106553.84106202,147.874294616584
"52",51,27177,0.00776391801891305,83160775720.083,305.996893402815,38.3943102874537,304498432.86585,0.317621518195533,0.333701291533282,0.294182580858814,29.0724703593848,109825569938.59,2793016.91560411,149.702421844429
"53",52,27277,0.0104850240129046,82111768307.6099,301.029322534039,39.2274923677251,305778826.278533,0.309858122227518,0.340360010265058,0.294973787439968,29.7033623105961,108440207236.678,3772652.20706071,151.289080644127
"54",53,27341,0.014008265974178,81078478842.316,296.545403761077,40.1398113652896,306365609.727736,0.302293259207783,0.346402838228302,0.294758787169452,30.3941773510648,107075602307.794,5051359.82929948,152.805351282728
"55",54,27437,0.0186609323176732,79990451014.3817,291.542264148346,41.187969221842,307528483.988185,0.294019025403652,0.350621423625032,0.29646098334366,31.1878506320388,105638707626.651,6750495.30556457,154.476515911698
"56",55,27647,0.0243426049842659,78848122009.5323,285.195941727971,42.3700472212222,310114719.505762,0.285709118530039,0.354649690744023,0.297175100372554,32.0829292867189,104130100558.852,8829812.50093714,156.163447251115
"57",56,27805,0.0314691602229815,77660017991.7158,279.302348468677,43.7245698641229,311963119.43918,0.277000539471318,0.356158964215069,0.299586405322784,33.1085843666518,102561041110.173,11454455.9167775,157.810384272609
"58",57,27778,0.0405716754265966,76429770799.757,275.144973719335,45.3013579483646,311390887.324025,0.26765785873713,0.357837137302902,0.299769601843185,34.3025405674258,100936325637.617,14742828.4518759,159.289382382391
"59",58,27830,0.051598993891484,75148674458.1703,270.027576206146,47.0996860186595,312007170.40048,0.256198347107438,0.357815307222422,0.301760689902982,35.6642485686548,99244456668.8307,18752611.2206045,160.768723007335
"60",59,27962,0.0644088405693441,73750844111.7308,263.753823445143,49.1407190950398,313359564.336046,0.246656176239182,0.355518203275874,0.302732279522209,37.2097346881172,97398423931.0901,23446704.8213013,162.302093128691
"61",60,28139,0.0792494402786169,72289447838.0867,256.901268126397,51.4489303058659,315389138.454098,0.236930949927147,0.350794271296066,0.303706599381641,38.9575301689458,95468443393.1581,28855691.7690837,163.814475665447
"62",61,28204,0.0965111331725996,70779969203.8846,250.957201829119,54.0403837569597,315853674.861557,0.226811799744717,0.343497376258687,0.305204935470146,40.9197988770067,93474963295.4089,35098045.3261985,165.212782694862
"63",62,28234,0.11564071686619,69156999490.5039,244.942266382744,56.9120699553576,316441781.490452,0.215378621520153,0.335907062407027,0.306616136572926,43.0942620008217,91331602170.8678,41986793.1437429,166.650002669403
"64",63,28381,0.136887354215849,67454455143.6893,237.674694844048,60.0737485863654,318224189.542586,0.205736231986188,0.325675628061027,0.306296465945527,45.4883096500097,89083151484.645,49624393.7783118,168.046278204811
"65",64,28443,0.158351791301902,65797041988.2278,231.329472939661,63.2858756096021,318791825.572695,0.196006047182083,0.315894947790317,0.305874907710157,47.9205572141532,86894302921.7724,57240438.3189834,169.347932520737
"66",65,28630,0.180649668180231,64156851332.6656,224.089595992545,66.6340741390859,320865529.9411,0.185434858539993,0.303842123646525,0.307020607754104,50.4558391811159,84728199106.6589,65188834.197563,170.749267757936
"67",66,28778,0.20310653971784,62555846032.7151,217.373848192074,70.021757577225,322531179.163445,0.172944610466328,0.294183056501494,0.307665577871986,53.0210194280043,82613845097.5812,73121516.2019959,172.057030787705
"68",67,28890,0.225475943232953,60982469131.0791,211.085043721285,73.4645241840399,324016787.212896,0.16282450674974,0.280719972308757,0.309968847352025,55.6279090786204,80535978297.3482,80904658.9640687,173.385567852446
"69",68,29099,0.248049761160177,59448566976.8364,204.297628704892,76.9521759071943,326443411.443277,0.151654696037665,0.268772122753359,0.311522732739957,58.2687860884204,78510243485.9417,88691205.1010545,174.654764464986
"70",69,29246,0.269199206729125,58032352623.9501,198.428341051597,80.2900535588623,328063702.489873,0.142207481364973,0.256035013335157,0.313341995486562,60.7962530064309,76639932066.7159,95944378.2808839,175.915335771894
"71",70,29378,0.290217169310368,56642880528.7313,192.807136390262,83.6588114872757,329443637.038772,0.132241813602015,0.244128259241609,0.31496357818776,63.3471027101628,74804937582.239,103109923.12579,177.20478148868
"72",71,29535,0.310580667005248,55300382341.5048,187.236777861875,86.9940379769716,331533347.986835,0.123345183680379,0.231623497545285,0.317013712544439,65.8725621477088,73031978789.1422,110038353.847742,178.507261138344
"73",72,29719,0.329250647733773,54103422009.3327,182.049941146515,90.1232190251831,333747480.847623,0.11531343584912,0.21911908206871,0.319829065580941,68.2420023744552,71451223324.3644,116213031.356677,179.749082896965
"74",73,29955,0.345852111500584,53000402440.6561,176.933408247892,93.0233891412967,336036484.42929,0.109330662660658,0.208512769153731,0.320180270405608,70.4380337422967,69994529928.537,121759533.843635,180.980546739401
"75",74,30120,0.36304780876494,51878893981.4809,172.240683869458,96.0645005265184,338142962.335621,0.102855245683931,0.197011952191235,0.321580345285525,72.7407869352701,68513419336.9949,127354802.7312,182.251105825501
"76",75,30257,0.379416333410451,50842786458.0481,168.036442667971,99.0107784990183,339992172.642477,0.0960438906699276,0.186601447598903,0.322966586244505,74.9717315305687,67145092763.6392,132676784.238327,183.526071508489
"77",76,30330,0.392449719749423,49968205705.6931,164.748452705879,101.559793757163,340799892.432703,0.0906033630069238,0.178305308275635,0.324431256181998,76.9018657088674,65990085144.3257,136882542.222148,184.832502483764
"78",77,30492,0.403778040141677,49176546697.7378,161.27688146969,103.919887387447,342618094.878597,0.0855306309851764,0.17096287550833,0.326151121605667,78.6889469612227,64944587420.2742,140593131.624636,186.184263283082
"79",78,30509,0.413189550624406,48490271935.0057,158.937598528322,106.041656693906,342705471.82564,0.0809597168048772,0.164836605591793,0.327739355599987,80.2955671820224,64038264501.8202,143791975.852801,187.567083389737
"80",79,30675,0.423308883455583,47778047362.4126,155.755655623187,108.289964608624,344710105.914354,0.0763162184189079,0.157946210268949,0.329942950285249,81.9980034211434,63097671188.0614,147053557.191276,188.929673264495
"81",80,30834,0.431860932736589,47169142886.8562,152.977696331505,110.323645380699,346455080.241742,0.0715768307712266,0.152656158785756,0.332165791009924,83.5379223186032,62293526680.1839,149778356.73268,190.270692634371
"82",81,31051,0.439116292550965,46613117829.3819,150.117928019651,112.200334805429,348646466.278951,0.0675984670380986,0.147756916041351,0.334095520273099,84.9589661468622,61559216925.2725,152316091.872238,191.656372866646
"83",82,31320,0.445178799489144,46106257057.5165,147.210271575723,113.986243219462,352200037.499024,0.0644636015325671,0.143103448275862,0.336334610472541,86.3112698877762,60889835565.2789,154309907.200549,193.133240908103
"84",83,31407,0.449326583245773,45715190894.6384,145.557330832739,115.453299878138,352680966.94963,0.0615786289680644,0.139523036265801,0.338841659502659,87.422136599682,60373377369.0934,155875919.99975,194.537180537354
"85",84,31603,0.4543239565864,45282484075.5626,143.285397195085,117.093901443035,355006775.285467,0.0591715976331361,0.135303610416733,0.340663861025852,88.6644128643137,59801926795.0719,157561990.910886,195.986849258351
"86",85,31657,0.458634741131503,44850166127.585,141.675351826089,118.6582958616,355456513.122258,0.056891050952396,0.132798433205926,0.341693780206589,89.8489844850464,59230989780.3531,159267249.495904,197.470284113637
"87",86,31842,0.462031279442246,44474526689.881,139.672529017904,120.121236344049,357789459.909882,0.0546134036806733,0.130519439733685,0.343225928019597,90.9567343962992,58734904757.3356,160621013.452356,199.006004459945
"88",87,32067,0.4641843639879,44175719028.7411,137.760685529488,121.408232982539,360236725.482251,0.0531699254685502,0.12770137524558,0.345526553778027,91.9312582605123,58340286965.4433,161484448.749199,200.534726727543
"89",88,32147,0.465891062929667,43861002655.3293,136.438867251468,122.656708502827,361190325.208578,0.0521977167387314,0.126014869194637,0.346844184527328,92.8766136344275,57924659468.2288,162364216.265891,202.085029706102
"90",89,32317,0.46566822415447,43654674176.1745,135.08269386445,123.622604030225,363138307.484751,0.0509948324411301,0.125042547266145,0.349537395179008,93.6079972399742,57652173520.1177,162602810.924149,203.673844279942
"91",90,32449,0.466855681222842,43402096523.5176,133.754804534863,124.759400067081,364345100.511396,0.0499244969028321,0.122068476686493,0.352614872569263,94.4687880404532,57318608995.0564,163367545.128251,205.204115692381
"92",91,32471,0.468787533491423,43112882992.6685,132.773499407682,126.015208831493,364170531.292311,0.0496442979889748,0.119922392288504,0.353423054417788,95.4196962038524,56936661609.5924,164318014.012751,206.703998799422
"93",92,32725,0.469793735676089,42854791630.9604,130.954290698122,127.192442902397,367449988.125933,0.0485255920550038,0.119236058059587,0.35449961802903,96.3111069982165,56595815451.6486,164804417.463449,208.28142151112
"94",93,32853,0.47058107326576,42591798605.6315,129.643559509425,128.333960021615,369204645.961444,0.0481234590448361,0.117675706936962,0.356070982863057,97.1754726389782,56248495953.4052,165474298.182288,209.873937951745
"95",94,33083,0.469062660580963,42456677528.9109,128.333819571716,129.146079956569,371925972.789613,0.047395943535955,0.116706465556328,0.359640903182904,97.7904161699451,56070049454.6436,165266639.789902,211.54237080112
"96",95,33208,0.467989641050349,42288236605.8798,127.343521458323,130.016303139056,373549092.47095,0.0458925560105999,0.116176824861479,0.362984822934233,98.4493559318393,55847599384.7315,165354459.749896,213.209538191079
"97",96,33373,0.468222814850328,42066872550.5462,126.050617416912,131.086541416352,375574183.127369,0.0452161927306505,0.115842147844066,0.36394690318521,99.2597486791293,55555256831.0405,165869723.303847,214.849858563183
"98",97,33441,0.467091295116773,41907720503.6247,125.318383133354,131.9443249737,376183128.75331,0.0444663736132293,0.115935528243773,0.365808438742861,99.90926906012,55345074036.223,165974120.613211,216.523142877283
